epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3308.2,0.58993,0.33601,0.87082,0.72818,0.71994,0.75685,0.50714,0.93472,0.73203,1.077,0.000540037,0.000540037,0.000540037
43,3387.13,0.58341,0.32802,0.86498,0.78559,0.7079,0.77369,0.50878,0.94398,0.76419,1.08323,0.000531038,0.000531038,0.000531038
44,3465.86,0.5739,0.32023,0.86153,0.69221,0.73105,0.77266,0.52819,0.91274,0.74089,1.06651,0.000522039,0.000522039,0.000522039
45,3545.02,0.58253,0.32169,0.86475,0.82736,0.63311,0.7676,0.52123,0.91633,0.71142,1.06897,0.00051304,0.00051304,0.00051304
46,3623.45,0.56891,0.31495,0.8605,0.65907,0.73552,0.75174,0.51596,0.92748,0.79471,1.07665,0.00050404,0.00050404,0.00050404
47,3702.14,0.57223,0.32155,0.86294,0.71454,0.68408,0.7417,0.50101,0.95045,0.79937,1.08757,0.000495041,0.000495041,0.000495041
48,3780.36,0.56859,0.31868,0.86172,0.71126,0.72024,0.7591,0.5065,0.93499,0.75515,1.09084,0.000486042,0.000486042,0.000486042
49,3858.98,0.5535,0.3084,0.85405,0.79544,0.70462,0.78032,0.52437,0.93288,0.71578,1.08671,0.000477043,0.000477043,0.000477043
50,3937.55,0.55608,0.31069,0.85704,0.75765,0.6774,0.75864,0.51317,0.92305,0.74123,1.06366,0.000468044,0.000468044,0.000468044
51,4015.83,0.55521,0.3102,0.85644,0.818,0.6434,0.76585,0.52533,0.91454,0.73889,1.07243,0.000459045,0.000459045,0.000459045
52,4094.55,0.55294,0.31179,0.84908,0.77936,0.64609,0.76102,0.52108,0.91104,0.73799,1.07029,0.000450046,0.000450046,0.000450046
53,4172.73,0.54917,0.30395,0.85258,0.73234,0.73001,0.78053,0.53672,0.90994,0.69774,1.06228,0.000441047,0.000441047,0.000441047
54,4251.94,0.54381,0.29961,0.856,0.85714,0.6843,0.79991,0.55126,0.91666,0.70768,1.0704,0.000432048,0.000432048,0.000432048
55,4330.95,0.53288,0.29291,0.8492,0.8081,0.69268,0.78139,0.53499,0.91842,0.73449,1.07006,0.000423049,0.000423049,0.000423049
56,4409.61,0.53909,0.30066,0.85301,0.76022,0.71433,0.76832,0.52676,0.9287,0.78275,1.08346,0.000414049,0.000414049,0.000414049
57,4488.23,0.53217,0.29457,0.8472,0.76636,0.71711,0.78278,0.5375,0.92377,0.70745,1.07764,0.00040505,0.00040505,0.00040505
58,4566.78,0.53142,0.29542,0.85144,0.70718,0.74228,0.77924,0.52916,0.93834,0.72941,1.07844,0.000396051,0.000396051,0.000396051
59,4645.43,0.52748,0.2892,0.85378,0.78287,0.70777,0.79271,0.53795,0.9134,0.71242,1.06752,0.000387052,0.000387052,0.000387052
60,4724.15,0.52192,0.28994,0.8496,0.68675,0.74442,0.77761,0.53039,0.90592,0.69898,1.06788,0.000378053,0.000378053,0.000378053
61,4802.87,0.51732,0.28814,0.84663,0.81373,0.67233,0.77336,0.527,0.92315,0.71882,1.07415,0.000369054,0.000369054,0.000369054
62,4881.52,0.51298,0.28558,0.84825,0.81891,0.65634,0.77649,0.52675,0.92643,0.70218,1.0733,0.000360055,0.000360055,0.000360055
63,4960.38,0.51308,0.28565,0.84608,0.79182,0.68784,0.78604,0.53646,0.9061,0.72177,1.06402,0.000351056,0.000351056,0.000351056
64,5038.93,0.50565,0.28175,0.83925,0.74172,0.70714,0.77164,0.53039,0.91037,0.72906,1.06961,0.000342057,0.000342057,0.000342057
65,5117.6,0.50468,0.2828,0.84061,0.75869,0.71492,0.78195,0.53738,0.90255,0.70737,1.06372,0.000333058,0.000333058,0.000333058
66,5196.2,0.50069,0.27795,0.84316,0.75498,0.75936,0.80209,0.54788,0.91605,0.68506,1.07743,0.000324058,0.000324058,0.000324058
67,5274.73,0.49634,0.2771,0.84164,0.77652,0.73246,0.80223,0.5471,0.91012,0.70493,1.07494,0.000315059,0.000315059,0.000315059
68,5353.19,0.49051,0.27002,0.84232,0.81401,0.71651,0.79446,0.54753,0.91666,0.72469,1.07477,0.00030606,0.00030606,0.00030606
69,5431.87,0.48682,0.2689,0.84109,0.78228,0.75603,0.81135,0.55795,0.90936,0.71137,1.06892,0.000297061,0.000297061,0.000297061
70,5511.02,0.48916,0.27264,0.84014,0.7404,0.76682,0.80466,0.55287,0.90334,0.70754,1.06457,0.000288062,0.000288062,0.000288062
71,5589.69,0.48283,0.26841,0.83781,0.73331,0.75823,0.79678,0.54541,0.90133,0.68701,1.06501,0.000279063,0.000279063,0.000279063
72,5668.46,0.48973,0.26975,0.84216,0.77159,0.7255,0.80082,0.55247,0.89673,0.65409,1.06769,0.000270064,0.000270064,0.000270064
73,5747.13,0.4709,0.26093,0.8367,0.83086,0.68017,0.80428,0.55889,0.89445,0.66743,1.05636,0.000261065,0.000261065,0.000261065
74,5826.27,0.47339,0.26217,0.8384,0.69474,0.73941,0.78728,0.54224,0.90308,0.68417,1.07267,0.000252066,0.000252066,0.000252066
75,5904.85,0.46847,0.2566,0.83501,0.74662,0.7319,0.80326,0.55745,0.90031,0.67131,1.0689,0.000243067,0.000243067,0.000243067
76,5983.43,0.45834,0.25252,0.83223,0.81631,0.69101,0.80475,0.56004,0.88996,0.6765,1.05944,0.000234068,0.000234068,0.000234068
